ASEAN Food ID,Food and Description,ENERC (ENERC),WATER,PROCNT,FAT,CHOVLDF (CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAA19,"Bread, wholewheat",273,33.5,11.9,5.4,41.3,5.9,2,83,-,415,137,1.9,-,-,0,0,0,0.21,0.23,2.6,-
AAA29,Corn flakes,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.3,183
AAA29,Corn flakes,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.3,183
AAA22,"Corn flakes, sugar coated",379,2.5,4,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA22,"Corn flakes, sugar coated",379,2.5,4,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA38,"Corn, whole-kernel, raw",(111),73.4,3.4,1.4,(21.1),-,0.7,10,11,1.7,-,-,11,70,0,-,-,0.1,0.18,1.1,13
AAA37,"Corn, yellow, on the cob, boiled",142,66.9,3.8,4.3,19.4,5,0.6,-,-,2.4,-,-,26,125,0,299,25,0.09,0.08,1.2,3
AAA42,"Macaroni, dried",344,11.9,12.1,0.6,70,4.9,0.5,5,41,2.2,-,-,13,66,22,0,22,0.29,0.13,2.2,0
AAA47,"Noodle, rice, dried",(353),11.3,10.5,0,(77.7),-,0.5,7,16,1.3,-,-,14,10,0,0,0,0.16,0.06,1.4,0
AAA48,"Noodle, rice, fermented, fresh ",(106),73.8,1.4,0.3,(24.3),-,0.2,47,10,-,-,-,9,49,0,0,0,0.6,-,-,-
AAA78,"Noodle, rice, vermicelli, dried ",374,6.5,6.1,0.7,85.1,1.3,0.3,13,22,2.7,-,-,5,26,0,0,0,-,-,-,-
AAA50,"Noodle, rice, fresh, kuih-teow",150,63.5,3,0.9,32.4,0.1,0.1,54,50,2.7,-,-,29,-,0,0,0,0.03,0.05,0.7,0
AAA79,"Noodle, wheat, dried, longevity (Mee-sua)",311,9.9,12.4,0.9,62.3,2.1,12.4,3067,-,1.7,-,-,19,90,-,-,-,-,-,-,-
AAA53,"Noodle, wheat, fresh",(299),27.2,12.7,3.3,(54.5),-,2.3,613,163,2,-,-,27,120,-,-,0.01,0.04,-,-,0
AAA54,"Noodle, wheat, instant, w/ flavour (different flavours)",448,4.3,10.5,20.4,53.5,4.1,7.2,1975,130,0.9,-,-,17,60,8,1,0.22,0.07,1.5,0,22
AAA61,"Rice, flour, glutinous, white",360,10.9,7.6,1.3,79.1,0.6,0.5,16,32,1.1,-,-,21,215,0,22,0.04,0.08,2.5,0,0
AAA59,"Rice, glutinous, black, polished, raw",347,12.7,8.5,2.6,69.9,4.9,1.4,2,82,3.5,-,-,20,81,36,3,0.39,0.1,2,0,0
AAA60,"Rice, glutinous, white, polished, raw",354,12.6,7.3,1.5,77.4,0.6,0.6,6,35,1.8,-,-,14,134,0,0,0.13,0.02,1.4,0,0
AAA69,"Rice, red, undermilled, raw",356,11.2,6.8,2.7,74.2,4,1.1,-,-,0.8,-,-,7,27,0,0,0.35,0.05,3.4,0,0
AAA63,"Rice, white, polished, cooked",129,67.3,2.2,0.2,29.4,0.6,0.3,20,47,0.4,-,-,19,105,0,0,0.02,0.02,0.7,0,0
AAA65,"Rice, white, polished, raw",354,11.7,6.8,0.7,79.7,0.6,0.5,27,71,1.2,0.1,0.5,5,65,0,0,0.1,0.04,2.6,0,0
AAA64,"Rice, white, polished, raw, jasmine variety",353,11.9,6.1,0.7,80.2,0.8,0.3,34,113,0.9,0.14,0.1,32,244,0,0,0.12,0.02,1.5,0,0
AAA67,"Rice, whole-grain, milled by machine, raw",353,11.9,7.9,2.1,74.1,2.8,1.2,33,193,2.2,0.1,0.5,21,126,0,0,0.33,0.08,5.5,0,0
AAA62,"Rice,parboiled, raw",355,11.9,6.9,1.2,78.8,0.5,0.7,9,45,1.6,-,-,68,161,0,0,0.19,0.11,3.3,0,0
AAA74,"Wheat, flour, all purpose",354,12.5,11.6,1.3,73.7,0.3,0.6,4,116,2.8,-,-,0,0,0.15,0.1,3.6,0,,,
AAB1,"Arrowroot, flour",347,13.3,0.4,(0.5),85.1,0.4,0.3,35,21,-,-,4.5,-,-,0,20,2,T,0.01,T,0
AAB6,"Cassava, tuber, fresh, raw",146,61.9,0.8,0.2,34.5,1.7,0.9,32,37,2,198,1,-,-,0,5,0,0.05,0.12,0.5,45
AAB8,"Coleus, tuber, raw",(96),75.9,1.4,0.5,(21.4),-,0.8,26,34,9,269,0.7,0.2,0.3,0,0,0,0.11,0.04,1.5,7
AAB10,"Potato, fresh, raw",76,79.4,2.2,0.1,15.7,1.6,1,24,58,30,176,1.4,-,-,0,0,0,0.12,0.07,1.3,30
AAB12,"Sago, flour",(349),12.8,0.6,0.2,(86.3),-,0.1,11,12,11,4,0.8,0.1,0.1,0,0,0,0,0,0.1,0
AAB14,"Sweet potato, purple, fresh, raw",(103),73.6,0.7,0.3,(24.4),-,1,26,43,1,1,0.9,T,0.2,0,24,2,0.08,0.04,0.8,23
AAB16,"Sweet potato, white, fresh, raw",106,71.9,0.6,0.5,23.5,2.4,1.1,66,31,3,5,0.7,0.1,0.2,0,13,-,0.16,0.07,0.6,36
AAB18,"Sweet potato, yellow, fresh, raw",94,73.9,0.6,0.3,20.3,4,0.9,64,43,3,1,0.4,0.1,0.2,0,756,63,0.08,0.05,0.6,27
AAB20,"Tapioca, flour",(355),11,0.8,0.1,(87.6),-,0.5,64,36,1,7,1,-,-,0,0,0,0.03,0.02,0.4,0
AAB21,"Taro, fresh, raw",117,68.8,1.7,0.1,26.1,2.4,0.9,49,46,11,252,0.8,0.2,0.8,0,15,1,0.11,0.07,1,6
AAB22,"Water chestnut, Kra-jub, boiled",(135),64.8,3.6,0.1,(30.0),-,1.5,23,89,-,-,4.6,-,-,0,-,-,0.27,0.04,0,9
AAB26,"Yam, spiny, fresh, raw",118,69.1,1.3,0.2,27.2,1.2,1,68,42,-,-,1.2,-,-,0,0,0,0.08,0.03,0.3,9
AAC3,"Bambara groundnut, boiled",(160),61.7,7.1,2.8,(26.5),-,1.9,22,127,-,-,-,-,-,0,-,-,0.1,0.18,1.6,-
AAC2,"Bambara groundnut, fresh, raw",(180),58.1,8.4,3.8,(28.1),-,1.6,20,143,-,-,-,-,-,0,-,-,-,0.37,2.9,4
AAC4,"Bean, black, dried, raw",305,12.1,21.3,1.9,40,21.3,3.4,66,362,7,4,9.3,0.9,3.5,0,-,-,0.55,0.19,2.1,3
AAC6,"Bean, hyacinth, dried, raw",(345),11.2,25.7,0.8,(58.8),-,3.5,66,372,43,407,6.5,-,-,0,202,17,0.46,0.12,3,0
AAC10,"Broad bean, seed, dried, raw",(349),11.9,22.1,1.5,(61.8),-,2.7,90,344,-,1762,6.3,-,-,0,-,-,-,-,-,-
AAC11,"Butterfly pea, seed, dried, dehulled, raw",(353),10.9,26.6,2.2,(56.6),-,3.7,-,43,-,-,6.2,-,-,0,-,-,-,1.36,4.7,-
AAC117,"Cashew nut, baked",557,2.2,23.4,41.8,13.8,16.1,2.7,22,473,-,-,-,-,-,0,-,-,0.86,0.19,1.1,1
AAC16,"Cashew nut, fresh, raw",299,50.5,11.6,23,9.2,4.5,1.2,11,223,-,-,0.1,-,-,0,-,-,0.36,0.2,0.9,1
AAC18,"Chestnut, roasted",224,40.4,4.7,3.6,36.7,12.9,1.7,28,78,5,321,1.5,-,-,0,0,-,0.2,0.09,1.3,14
AAC19,"Chickpea, dried, raw",(374),10.1,19.8,5.1,(62.1),-,2.9,137,309,7,835,5.2,-,-,0,10,1,0.31,0.16,1.3,1
AAC17,"Cowpea, catjung, seed, dried, raw",(352),10.9,22.5,2.3,(60.3),-,4,306,408,-,-,7.5,-,-,0,-,-,0.66,0.11,2.4,-
AAC27,"Cowpea, seed, mixed colours, dried, raw",(357),8.7,23.8,2,(61.0),-,4.5,66,447,15,8,10,-,-,0,-,-,1.01,0.38,3,-
AAC118,"Jackfruit, seed, raw",(153),60.7,5.5,0.2,(32.2),-,1.4,-,105,-,-,2.9,-,-,0,-,-,1.74,-,3.1,24
AAC47,"Job's tears, seed, whole",359,10.6,14.6,2.6,67.6,3.6,1,19,148,-,-,4.8,-,-,-,-,-,0.34,0.09,2.1,17
AAC48,"Kidney bean, red, dried, raw",299,11.6,19.6,1.9,38.8,24.3,3.8,109,388,-,-,6.7,-,-,0,T,-,0.35,0.77,2.4,0
AAC53,"Mungbean noodle, dried, raw",345,11.5,0.2,0.2,83.2,4.8,0.1,22,10,7,-,1,-,-,0,0,0,0.01,0.01,0.1,0
AAC61,"Mungbean noodle, instant, w/ seasonings, mixed flavours",353,7.3,1.8,6.9,70.1,1.5,12.4,41,-,3265,70,1.6,-,-,0,0,0,0.05,0.01,-,0
AAC55,"Mungbean, seed, green, dried, raw",301,10.6,23.2,1.9,34.7,26.1,3.5,97,349,44,863,5.9,1.47,2.7,0,165,14,0.73,0.26,2.5,2
AAC41,"Mungbean, seed, red, dried, raw",(343),11.9,18.7,0.7,(65.5),-,3.2,86,317,15,739,6.6,-,-,0,8,1,0.53,0.3,2.2,0
AAC58,"Mungbean, seed, splited, dried, dehulled, raw",329,8.7,24.5,1.2,47.9,14.2,3.5,206,328,23,279,4.3,-,-,0,98,8,0.44,0.38,1.9,0
AAC62,"Pea, seed, dried, raw",(341),12.2,23.6,1,(59.4),-,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAC63,"Peanut/Groundnut, seed, w/ skin, dried, raw",543,6.4,24.9,43,5.2,18,2.5,69,348,32,483,5.9,1.6,2,0,0,0,1.31,0.28,14.7,0
AAC121,"Pumpkin, seed, w/o shell, roasted",594,5.4,25.6,49.1,9.7,5.2,5,35,789,24,469,6,2,8,0,-,-,-,-,-,-
AAC123,"Pumpkin, seed, w/o shell, baked, salted",555,8.8,22.9,45.7,10,5.9,6.7,40,834,1160,389,7,2,7,0,-,-,-,-,-,-
AAC122,"Pumpkin, seed, w/o shell, fresh, raw",384,37.3,16.8,32.5,2.8,6.7,3.9,24,606,16,356,5,2,5,0,-,-,-,-,-,-
AAC71,"Rice bean, seed, dried, raw",(345),10.5,18.1,1.2,(65.4),-,4.8,230,209,9,8,2.1,-,-,0,-,-,0.5,0.5,3.6,-
AAC72,"Rice bean, seed, red, dried, raw",300,9.7,22.5,2.1,33.9,27.8,4,68,370,16,1122,6.4,1.57,2.4,0,-,-,1.09,0.18,2,7
AAC73,"Sesame, seed, black, dried, raw",555,4.5,19.4,46,6.3,19.2,4.6,913,555,69,401,15.9,2.2,3.2,0,-,-,0.57,0.61,5.3,-
AAC74,"Sesame, seed, white, dried, raw",602,3.6,22.8,52,0p,21.6,4.6,952,543,48,457,9.5,2.3,4,0,0,0,0.67,0.75,5.3,0
AAC90,"Soybean cheese, fermented",(124),58,10.6,4.4,(10.4),-,16.6,88,137,3701,260,4.7,-,-,0,-,-,0.03,0.14,1.2,-
AAC125,"Soybean curd, white, hard",(118),76.7,12.4,5.9,(3.7),-,1.3,42,157,115,156,3.7,-,-,0,0,0,0.08,0.04,2.6,-
AAC131,"Soybean curd, white, soft",(60),88.3,5.5,3.4,(1.8),-,1,37,62,35,248,1.3,-,-,0,0,0,0.06,0.04,0.9,-
AAC92,"Soybean curd, white, soft, packed in pouch",(41),92.1,3.8,2.2,(1.4),-,0.5,19,49,-,-,1,-,-,0,0,0,-,-,-,-
AAC93,"Soybean flour, defated",(362),4.5,48.9,1.1,(39.2),-,6.3,-,-,-,-,-,-,-,0,0,0,-,-,-,-
AAC126,"Soybean flour, full-fat",449,6.5,36.2,21.4,24.9,6,5,262,571,54,-,3.9,-,-,0,0,0,-,-,-,-
AAC127,"Soybean paste, black",(89),60.8,8.2,3.4,(6.3),-,21.3,98,81,2800,250,6.8,-,-,0,0,0,-,-,-,-
AAC95,"Soybean paste, white",(134),56,10.2,4.6,(13.0),-,16.2,111,136,2171,254,4.9,-,-,0,0,0,0.12,0.16,1.1,0
AAC85,"Soybean, seed, black, dried, raw",378,9.6,34.4,13.7,21.1,16.1,5.1,223,377,37,398,6.2,-,-,0,58,5,0.51,0.23,2.7,8
AAC87,"Soybean, seed, yellow, dried, raw",389,8.7,34.6,17.8,11.6,22,5.3,260,534,32,994,6.6,1.42,2.9,0,60,5,0.77,0.3,2,5
AAC99,"Soybean, young seed, boiled",(152),65,15.1,4.1,(13.6),-,2.2,167,253,-,-,1.3,-,-,0,89,7,0.29,0.18,1.8,25
AAC101,"Soybean, young seed, fresh, raw",(162),65,14,6.9,(10.9),-,3.2,177,217,84,286,2.6,-,-,0,95,8,0.47,0.2,1.6,27
AAC130,"Sugar pea,coated, baked",457,1.7,17.9,18.9,49.9,7.7,3.9,41,-,435,-,4.3,-,-,0p,0,0,0.85,0.02,-,-
AAC102,"Sweet pea, dried, dehulled, raw",(352),10.2,22.1,1.4,(62.7),-,3.6,227,28,-,-,4.5,-,-,0,-,-,-,0.56,3.9,-
AAC103,"Tamarind, seed, roasted",(399),9.6,14.4,7.5,(68.5),-,-,140,289,-,-,3.7,-,-,0,-,-,0.09,0.69,0.2,-
AAC108,"Winged bean, seed, dried, raw",(424),9.2,34.1,15.5,(37.0),-,4.2,564,636,-,-,9.6,-,-,0,-,-,-,-,-,-
AAD36,"Acacia pennata (Cha-om), leaf",59,82.4,10.5,0.5,1.3,3.9,1.4,41,171,42,438,2.5,0.06,0.5,0,1297,108,0.37,0.48,1.9,47
AAD152,Amaranth,(36),88.5,3.3,0.3,(5.0),-,2.9,221,77,-,-,2.4,-,-,0,-,0.02,0.27,0.9,21,0
AAD2,"Amaranth, spineless, fresh, raw",27,88.9,3.6,0.5,0.2,3.8,3,190,67,44,604,3.1,-,-,3059,255,0.03,0.27,1.1,49,0
AAD3,"Asparagus, canned",20,93,1.7,0,2.5,1.7,1.1,18,30,380,79,0.3,-,-,0,0,0.05,0.06,0.4,10,0
AAD4,"Asparagus, fresh, raw",21,93.2,2.6,0.4,0.3,2.8,0.7,12,52,9,191,0.7,0.11,0.5,83,7,0.1,0.16,0.8,22,0
AAD6,"Bamboo shoot, canned, drained",12,95.7,0.9,0.2,0.5,2.4,0.3,34,16,9,-,0.6,-,-,15,1,0.01,0.06,0.2,T,0
AAD8,"Bamboo shoot, spring variety, fresh, raw",23,91.2,2,0.4,0p,5.7,0.9,24,40,23,112,1,-,-,13,1,0.07,0.09,0.6,5,0
AAD10,"Banana, flower and bud, fresh, raw",32,90.2,1.6,0.7,3.1,3.2,1.2,50,36,3,524,1.1,0.09,0.3,201,17,0.02,0.03,0.8,10,0
AAD13,"Banana, shoot and young stem, fresh, raw",(13),95.9,0.7,0.1,(2.4),-,0.9,21,34,-,-,0.2,-,-,4,0,0.01,0.02,0.3,0,0
AAD15,"Bean, mixed variety, pod, fresh, raw",35,90.6,2.1,0.2,5.9,0.5,0.7,61,45,68,113,1,-,-,698,58,0.1,0.12,0.8,19,0
AAD136,"Beetroot, fresh, raw",37,88.7,1.6,0.1,6.2,2.4,1,54,47,26,369,1.1,-,-,0,0,0.03,0.05,0.3,8,0
AAD19,"Bell pepper, green, capsicum, fresh, raw",23,93.3,1.1,0.3,3.2,1.7,0.4,9,24,13,126,1,0.08,0.2,190,16,0.07,0.04,0.5,97,0
AAD22,"Broccoli, fresh, raw",26,91.2,3.4,0.1,1.4,2.9,1,34,57,22,261,0.9,0.04,0.5,283,24,0.08,0.18,1.2,107,0
AAD23,"Cabbage, Chinese, fresh, raw",18,94,1.7,0.2,1.5,1.7,0.9,60,34,22,201,1.6,0.1,0.2,1463,122,0.07,0.12,0.6,33,0
AAD24,"Cabbage, Chinese, salted",34,86.2,1.4,0.3,5.4,2.1,4.6,59,25,1512,1455,1.6,-,-,0,0,0,0.02,0,10,0
AAD25,"Cabbage, Chinese, wongbok, fresh, raw",16,94.7,1.7,0.4,0.6,1.7,0.9,130,24,4,290,1.5,-,-,829,69,0.06,0.07,0.7,36,0
AAD134,"Cabbage, Chinese/ Flowering white cabbage, flower",(28),93.2,1.7,0.2,(4.9),2.1,-,-,-,-,-,-,-,-,1322,110,-,-,-,-,0
AAD56,"Cabbage, Chinese/ Flowering white cabbage, raw",20,93.3,1.9,0.2,1.5,2.1,1,115,37,110,227,1.3,0.04,0.5,2306,192,0.05,0.24,0.6,51,0
AAD26,"Cabbage, common, fresh, raw",25,92.2,1.5,0.3,3.2,1.9,0.9,51,30,29,243,1,0.3,0.3,47,4,0.06,0.07,0.3,32,0
AAD28,"Carrot, raw",35,88.4,1.5,0.2,4.9,4,1,80,43,98,237,0.7,0.07,0.2,4346,362,0.06,0.07,0.6,12,
AAD29,"Cashew nut, leaf and top, raw",(48),87.4,3.1,0.2,(8.5),-,0.8,56,36,8,384,2.4,-,-,0,2568,214,0.01,0.64,0.6,72
AAD30,"Cassava, young leaf and top, raw",65,81.1,6.3,0.7,6.1,4.6,1.2,158,51,20,28,1.6,-,-,0,3882,324,0.19,0.45,1.9,211
AAD31,"Cassia, flower, raw",(102),73.9,4.2,0.5,(20.1),-,1.3,19,25,-,-,1.5,-,-,0,-,-,0.11,0.54,1.8,441
AAD32,"Cassia, leaf, raw",104,70.2,6.3,0.7,15.1,5.8,1.9,125,129,39,521,2.4,-,-,0,240,20,0.42,0.63,3.2,56
AAD33,"Cassia, tender tip, raw",(65),83.9,4.5,0.9,(9.7),-,1,51,79,45,386,0.5,-,-,0,-,-,-,0.36,2.6,2
AAD34,"Cauliflower, inflorescence, raw",30,90.9,2.6,0.1,3.9,1.7,0.8,28,48,51,205,0.8,-,-,0,26,2,0.1,0.1,0.7,68
AAD35,"Celery, leaf and petiole, raw",25,91.1,1.3,0.2,3.2,2.6,1.6,164,35,82,329,2.5,0.1,0.5,0,80,7,0.03,0.09,0.5,21
AAD37,"Chayote, fruit, raw",(21),94.4,0.6,(0.1),(4.5),-,0.4,24,10,-,-,0.4,-,-,0,35,3,0.02,0.02,0.4,10
AAD155,"Chinese radish, leaf, sweet pickled",(55),72.5,1.3,0.2,(12),-,14,-,-,-,-,-,-,-,0,-,-,-,-,-,-
AAD40,"Chrysanthemum, leaf, raw",18,93.8,2.2,0.4,0.3,2,1.3,76,33,63,452,2.1,0.1,0.5,0,2915,243,0.06,0.16,0.5,20
AAD41,"Coriander, leaf, raw",27,90.3,2.5,0.2,2.2,3,1.8,127,46,23,544,2.6,0.1,0.2,0,2587,216,0.1,0.39,1,127
AAD42,"Corn, baby",27,91.7,1.9,0.2,3.6,1.5,1.1,9,49,279,182,0.4,0.08,0.6,0,-,-,0.09,0.13,0.7,24
AAD43,"Corn, baby, in brine, canned, drained",24,92.2,1.6,0.4,2.4,2.4,1,7,-,254,-,-,-,-,0,-,-,-,-,-,-
AAD44,"Cowpea, mixed variety, pod, fresh, raw",45,86.1,4.1,0.2,4.8,4,0.8,69,40,28,93,1.2,-,-,0,346,29,0.18,0.16,1.6,29
AAD46,"Cucumber, long",16,95.4,0.6,0.1,2.8,0.7,0.4,18,22,14,118,0.4,-,-,0,27,2,0.03,0.04,0.2,8
AAD45,"Cucumber, small",21,93.9,0.8,0.1,3.7,1,0.5,20,28,5,166,0.4,0.05,0.2,0,52,4,0.04,0.05,0.3,12
AAD52,"Egg plant, purple, raw",(32),91.6,1.3,0.1,(6.4),-,0.6,20,29,9,55,0.6,-,-,0,85,7,0.08,0.06,0.7,18
AAD50,"Eggplant/aubergine, green, long, raw",22,92.9,1,0.1,3.2,2.3,0.5,15,37,5,155,0.4,0.1,0.2,0,-,-,0.06,0.09,0.5,4
AAD51,"Eggplant/brinjal, pickled",(27),90.6,1.1,0.2,(5.1),-,3,-,-,-,-,-,-,-,0,-,-,-,-,-,-
AAD54,"Eggplant/brinjal, raw",31,90.2,1.5,0.2,4.5,2.8,0.8,22,37,12,251,0.9,0.13,0.2,0,62,5,0.07,0.04,0.7,8
AAD154,Fennel,(42),88.3,2.5,0.4,(7.2),-,1.6,79,48,70,439,2.3,-,-,0,5203,434,-,0.22,1.2,23
AAD55,"Fern, leaf, raw",(63),84.9,3.2,1.4,(9.4),-,1.1,39,74,23,231,1.1,0.23,0.3,0,1859,155,0.34,0.17,0.6,26
AAD57,"Garlic, leaf, raw",32,89.7,2.4,0.3,2.9,3.8,0.9,70,45,5,210,0.7,-,-,0,1344,112,0.07,0.12,0.6,27
AAD59,"Gourd, bitter, leaf and top, raw",68,85.6,4.5,4.5,0p,4.5,1.7,207,69,-,-,3.2,-,-,0,3985,332,0.16,0.34,1.4,65
AAD60,"Gourd, bitter, mixed variety, raw",16,94,0.9,0.1,1.5,2.8,0.7,33,26,12,155,0.7,0,0.1,0,170,14,0.06,0.05,0.2,42
AAD62,"Gourd, bottle, raw",20,95.1,0.5,1,1.5,1.5,0.4,19,16,4,130,0.3,0.1,0.1,0,11,1,0.03,0.03,0.5,12
AAD63,"Gourd, snake, raw",17,94.6,0.8,0.1,2.1,2.1,0.3,15,7,8,51,0.8,-,-,0,76,0.03,0.05,0.4,13,0
AAD64,"Gourd, sponge, raw",21,94.1,0.9,0.3,3,1.2,0.5,23,30,16,109,0.4,-,-,10,1,0.04,0.04,0.3,6,0
AAD65,"Gourd, wax, mixed variety, raw",16,94.9,0.5,0.2,2.3,1.7,0.4,21,20,5,135,0.3,0.02,0.1,0,0,0.02,0.13,0.2,39,0
AAD61,"Gourd/cucumber, bitter, Thai variety, raw",20,92.4,1.4,0.4,0.5,4.2,1.1,3,5,-,-,0.4,0.08,0.2,23,2,0.09,0.05,-,147,0
AAD48,"Horseradish, leaf, raw",(47),86.2,2.9,0.1,(8.7),-,2.1,-,-,-,-,-,-,-,2872,239,-,-,-,-,0
AAD160,"Horseradish-tree, leaf, raw",(90),76.5,6,1.1,(14.1),-,2.3,304,96,9,426,3.8,-,-,5336,445,0.24,0.62,3.7,169,0
AAD49,"Horseradish-tree, pod, raw",(63),83.6,3.2,0.3,(11.9),-,1,24,36,3,222,0.9,-,-,68,6,0.05,0.09,0.5,239,0
AAD67,"Indian pennywort, leaf, raw",34,87.8,2.3,0.4,3.1,4.5,1.9,182,21,21,391,4.8,-,-,1946,162,0.17,0.14,0.1,30,0
AAD58,"Ivygourd, fresh, raw",26,91,3.6,0.2,1.2,2.7,1.3,57,69,19,166,1.4,0.14,0.5,4036,336,0.11,0.17,0.8,13,0
AAD68,"Jackfruit, unripe",38,86.7,1.9,0.6,2.5,7.6,0.7,49,13,-,-,0.5,-,-,18,2,0.31,0.05,0.5,14,0
AAD71,"Jute, leaf, raw",(50),87.2,4.7,(1.0),(5.5),-,1.6,335,86,-,-,8.7,-,-,5515,460,0.11,0.21,1.1,86,0
AAD72,"Kale, Chinese, raw",(38),89.4,2.7,0.3,(6.1),-,1.5,178,20,17,331,2.5,-,-,2641,220,0.09,0.16,0.9,117,0
AAD153,"Leek, Chinese, onion fragant",(34),90.7,1.7,0.1,(6.5),-,1,48,67,2,45,1.2,-,0.4,-,0.06,0.05,0.3,17,0,1509
AAD74,"Leek, Chinese, raw",23,92.3,2.3,0.2,1.7,2.7,0.8,68,46,12,247,7.1,0.06,0.3,126,0.05,0.11,1,18,0,1555
AAD75,"Lettuce, garden, leaf and petiole",15,94.7,1.3,0.1,1.3,1.8,0.8,62,32,19,190,1.8,-,-,130,0.06,0.13,0.4,23,,
AAD76,"Loofah, angled",21,94,0.8,0.3,3,1.4,0.5,19,16,25,119,0.7,0.05,0.1,0,18,2,0.05,0.04,0.4,6
AAD80,"Mung bean, sprout, raw",41,88.2,4.3,0.2,4.1,2.6,0.6,29,73,13,106,1.4,0.13,0.5,0,28,2,0.11,0.14,0.8,23
AAD81,"Mung bean, sprout, in brine, canned",23,92.5,1.5,0.1,3,1.9,1,33,-,313,-,0.3,-,-,0,-,-,-,-,-,2
AAD82,"Mushroom, abalone, raw",(45),88.6,2.6,0.9,(6.7),-,1.2,7,85,45,487,1.3,0.04,0.1,0,-,-,0.07,0.27,2.8,8
AAD84,"Mushroom, button/ champignon, canned in brine, drained",31,90.2,4,0.5,1.1,3.2,1,16,42,394,27,0.8,0.33,3.4,0,-,-,-,-,-,4
AAD83,"Mushroom, button/ champignon, raw",(33),90.5,4.7,0.2,(3.2),-,1.4,9,139,8,528,5.7,0.38,0.2,0,-,-,-,-,5.5,4
AAD85,"Mushroom, Chinese/ shiitake, dried, raw",(333),13.2,16,1,(64.9),-,4.9,22,345,31,2103,3.6,0.75,6.6,0,0,0,0.07,1.5,12.3,9
AAD118,"Mushroom, Chinese/ shiitake, fresh, raw",(32),91.6,2.2,0.1,(5.5),-,0.6,6,46,7,237,1.1,0.08,0.1,0,-,-,-,1.03,3.2,-
AAD88,"Mushroom, Chinese/straw, fresh, raw",31,90.8,3,0.2,3.6,1.4,1,6,101,21,317,1,0.38,0.3,0,-,-,0.09,0.32,6.4,9
AAD87,"Mushroom, grey, oyster, fresh, raw",(40),89.9,3.2,0.5,(5.7),-,0.7,4,78,22,214,1.5,0.06,0.2,0,0,0,0.04,0.31,3.9,10
AAD69,"Mushroom, Jew's ear/black wood ear, dried, raw",243,11.4,8.3,0.3,27.6,48.4,4,223,209,181,756,20.1,0.3,5.7,0,11,1,0.07,0.62,2.8,2
AAD70,"Mushrooms, Jew's ear/ black wood ear, fresh, raw",23,89.8,0.8,0.1,0.7,8.2,0.4,23,15,28,54,0.5,0.03,0.1,0,-,-,0.01,0.14,0.2,1
AAD138,"Mustard green, India (leaf and stem)",18,94.3,1.7,0.4,1,1.8,0.8,68,17,16,319,1.5,-,-,0,1492,124,0.07,0.17,0.5,63
AAD89,"Mustard, Chinese, leaf, pickled",(21),91.5,1.5,0.2,(3.40),-,3.4,79,248,-,-,5.7,-,-,0,966,81,0.02,0.03,0.4,20
AAD90,"Mustard, leaf, raw",(28),92.5,2.2,0.5,(3.7),-,1.1,152,49,11,426,2.5,-,-,0,1901,158,0.06,0.16,0.9,80
AAD91,"Neem, leaf and tip",78,73.3,5.6,0.4,7.3,11.6,1.8,162,70,12,331,2.7,0.14,0.4,0,4810,401,0.06,0.11,2.5,92
AAD73,"Okra (Lady's fingers), young pod, raw",(31),91.9,1.6,0.2,(5.6),-,0.7,44,17,26,68,1.3,-,-,0,171,14,0.08,0.12,1.2,17
AAD94,"Onion, flower",(23),94,1.2,0.1,(4.2),-,0.5,23,25,-,-,0.6,-,-,0,378,32,0.04,0.1,0.2,19
AAD96,"Onion, spring, fresh, raw",39,89.2,2.2,0.7,4.6,2.6,0.7,55,39,16,137,2.3,-,-,0,2848,237,0.06,0.09,0.3,42
AAD97,"Papaya, unripe, raw",24,92.6,0.8,0.1,4,2,0.5,47,32,21,203,0.6,0.01,0,0,0,0,0.04,0.03,0.3,29
AAD103,"Parkia, seed, raw",124,69.9,9,2.9,14.2,2.7,1.3,101,43,47,376,2.1,-,-,0,151,13,0.13,0.11,0.8,28
AAD99,"Parsley, leaf, raw",33,88.5,3,0.9,1,4.7,1.9,216,51,13,804,6,-,-,0,2100,175,0.13,0.21,0.5,106
AAD100,"Pea, garden, pod, fresh, raw",57,84.5,4.9,0.4,7.3,2.1,0.8,53,56,2,139,0.9,0.11,0.8,0,85,7,0.24,0.12,1,49
AAD105,"Pumpkin, raw",44,87.4,1.3,0.3,7.8,2.4,0.8,31,30,43,178,0.7,0.06,0.9,0,1019,85,0.06,0.05,0.5,15
AAD106,"Pumpkin, young leaf, raw",27,91.4,2.9,0.3,1.9,2.4,1.1,90,46,49,363,3.5,-,-,0,1050,88,0.11,0.15,1,20
AAD107,"Purslane, leaf, raw",32,89.7,2.4,0.1,4.9,1.1,1.8,120,44,5,354,4.5,-,-,0,4992,416,0.04,0.15,0.7,27
