ASEAN Food ID,Food and Description,ENERC (ENERC),WATER,PROCNT,FAT,CHOVLDF (CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAN76,"Cabbage, fermented, dried (Tang-chai)",(87),62,2.8,0.1,(18.8),-,16.3,-,-,6987,-,-,-,-,0,-,-,-,0.15,0.9,21
AAN10,"Cardamon, leaf",(373),9.6,9.5,6.3,(69.5),-,5.1,16,23,-,-,12.6,-,-,0,-,0.12,0.45,-,-,0
AAN93,"Chilli pepper, green, raw",24,92,1.4,0.2,2.6,3.2,0.6,10,37,9,183,0.5,0.07,0.2,53,4,0.22,-,-,250,0
AAN86,"Chilli, bird, dried, ground",(465),4.4,14.2,21.4,(53.9),-,6.1,155,396,-,-,8.7,-,-,-,-,-,0.41,0.5,-,0
AAN11,"Chilli, fried in oil",(545),21.7,5.2,48.3,(22.4),-,2.4,-,-,-,-,-,-,-,0,0,-,-,-,-,0
AAN19,Cinnamon,(341),14.1,3.3,1.7,(78.0),-,2.9,276,43,5,132,12.3,-,-,0,0,0.05,0.92,0,0,0
AAN22,"Coriander, seed",(327),11.4,12.4,0.5,(68.3),-,7.4,559,433,91,1783,48.8,-,-,75,6,0.12,0.35,1.8,0,0
AAN24,"Cumin, seed",(373),12.6,14.3,10.6,(55.1),-,7.4,929,382,15,1301,27.5,-,-,87,7,0.42,0.27,1,0,-
AAN87,"Curry powder, Thais",(301),7.7,7.1,7,(52.4),-,25.8,7254,72,-,-,-,-,-,-,-,1.59,1.8,-,0,8
AAN34,Galangal,(49),87.8,0.9,0.5,(10.2),-,0.6,14,23,42,239,1.2,0.13,0.6,1,0.13,0.1,0.5,6,0,-
AAN35,"Garlic, fresh",(51),86.6,2.1,0.1,(10.4),-,0.8,25,49,21,303,0.7,-,-,-,-,-,-,-,0,0
AAN36,"Ginger, root, fresh",39,89.1,1.2,0.8,5.2,2.9,0.8,32,32,3,107,1.6,-,-,0,0.04,0.04,0.8,3,0,5501
AAN39,"Holy basil, leaf, fresh",42,86.3,3.3,0.5,4,4.1,1.8,203,127,146,315,2.7,0.14,0.5,458,0.05,0.79,1.1,24,0,-
AAN84,Kra-chai (Kaempfer/ Chinese deys),18,94.7,0.2,0.5,2.9,0.6,1.1,-,14,20,288,3.6,-,-,-,0.41,0.5,-,0,1321,110
AAN45,"Leech lime, leaf",(137),65.3,5.5,3.1,(21.7),-,4.4,1029,35,23,352,3.3,1.78,0.5,0.2,0,1,20,0,-,0.06
AAN5,"Leech lime, peel",(124),69.1,3.4,1.5,(24.2),-,1.8,-,60,-,-,-,-,-,0.14,0.6,110,0,18,2,0.05
AAN42,Lemon grass,(78),80.2,0.8,1,(16.5),-,1.5,31,30,7,242,2,0.07,0.5,0.04,1.1,1,0,-,-,-
AAN46,"Lime, pickled",(46),72.6,0.5,0.1,(10.8),-,16,-,-,-,-,-,-,-,-,-,0,-,0.05,0.5,0.6
AAN47,Mace,(390),19.1,14.2,15.4,(48.7),-,2.6,134,142,-,-,64.5,-,-,-,-,-,-,-,-,-
AAN90,"Marinade powder, for chicken ",289,2.2,7.7,2.3,58.2,2.5,27.1,298,-,7570,-,8.5,-,-,-,-,-,-,-,-,-
AAN59,"Marinade powder, for roasted pork",288,0.9,2.6,1.3,65.9,0.9,28.4,1177,-,8097,-,7.6,-,-,-,-,-,-,-,-,-
AAN63,"Marinade powder, for satay",309,1.9,3.2,0.7,70.8,3.3,20.1,706,-,5569,-,11.1,-,-,-,0,2803,234,0.15,0.13,0.7
AAN48,"Mint, leaf",33,89.4,2.9,0.8,1.4,4.3,1.2,179,29,29,179,4.1,-,-,84,0,0,0,0.03,0.04,0.2
AAN52,"Onion, large",47,86.9,1.6,0,9.3,1.6,0.6,39,53,13,10,0.7,-,-,8,,,,,,
AAN25,"Paste, curry, green",59,72.2,3.5,0.8,5.9,7.1,10.5,90,-,3786,-,2.6,-,-,-,-,-,-,-,-,-
AAN28,"Paste, curry, panang",92,61.6,4.6,1.8,10.1,8.6,13.3,110,-,4019,-,3.9,-,-,-,-,-,-,-,-,-
AAN26,"Paste, curry, red",94,61,5.3,2.2,8.3,9.9,13.3,136,121,3781,-,2.8,-,-,-,-,-,-,0.62,10.2,22
AAN27,"Paste, curry, yellow (Kari)",109,57.9,4.6,5.8,5,9.2,17.5,62,-,5294,-,3.7,-,-,-,-,-,-,-,-,-
AAN31,"Paste, shrimp, fermented (Ka-pi)",(120),44,21,1,(6.8),-,27.3,1380,596,6000,393,20.5,0.84,2,-,-,-,0.01,0.12,3.7,-
AAN67,"Paste, tiny shrimp, fermented (Ka-pi)",81,46.5,13.9,1.2,2.7,2,33.7,488,360,7000,270,39.2,0.44,1.1,-,-,-,0.01,0.11,1.5,-
AAN6,"Pepper, black, powder",(364),13.1,12.4,7.3,(62.2),-,5,262,215,-,-,8.6,-,-,0,-,-,0.04,0.22,3,0
AAN7,"Pepper, black, whole, fresh",(83),80,3.5,1.7,(13.3),-,1.5,102,36,-,-,2.1,-,-,173,14,-,0.12,2.6,8,0
AAN15,"Pepper, green, hot, fresh",(55),85.2,2.1,0.9,(9.7),-,2.1,16,46,-,-,0.8,-,-,388,32,0.07,0.01,0.1,142,0
AAN40,"Pepper, hot, dried",(353),18,15,8.6,(53.8),-,4.6,66,394,-,-,12.9,-,-,-,-,0.14,1.34,7.2,107,0
AAN17,"Pepper, red, hot, fresh",(75),83,3,2.3,(10.5),-,1.2,8,52,-,-,1.2,-,-,935,78,0.15,0.01,0.1,142,0
AAN54,"Pepper, white, powder",(373),11.4,10.6,4.6,(72.2),-,1.2,728,96,4,101,3.9,-,-,24,2,0.05,0.06,1.4,0,0
AAN16,"Pepper, yellow, hot, fresh",(112),72.6,4.1,1.9,(19.7),-,1.7,19,52,-,-,1.5,-,-,933,78,0.17,0.09,3,95,52
AAN33,"Sauce, fish",(48),67.2,5.4,1.1,(4.1),-,22.2,333,202,4926,14,2.4,-,-,29,54,0,0.12,2.5,0,0
AAN96,"Sauce, fish, grade 1, per 100 ml",(56),73,11.6,T,(2.4),-,36.4,39,-,9294,-,2.9,-,-,-,-,-,-,-,-,0
AAN12,"Sauce, chilli, hot",(104),67.9,0.8,0.7,(23.7),6.9,(73),10,-,1473,-,0.8,-,-,-,-,-,-,-,-,6
